knowledge_area,face_to_face,online_competence_score,overall_competence_score
progressnet,7.77,6.45,6.65
progresswww,7.71,6.47,6.66
thunderbird,7.75,6.85,6.99
mobility_online,7.67,6.5,6.67
ocasys,7.92,6.48,6.71
syllabus,7.57,7.07,7.15
bambix,7.0,5.17,5.43
prospero,7.0,6.6,6.67
access,8.0,5.7,6.08
corsa,8.0,5.25,5.64
bi_portal,8.0,6.17,6.43
